team_id,total_score,num_games,wins,losses,power,overall_rank,recent_opponent_1,recent_opponent_2,recent_opponent_3,recent_opponent_4,recent_opponent_5,div_rank,last_rank
Vail Christian,0,0,6,11,258.6622453,298,677,417,303,224,197,46,0
Wheat Ridge,0,0,1,22,258.3049873,299,56,59,88,58,55,61,0
Rehoboth Christian NM,0,0,0,0,258.0182519,-1,332,332,332,332,332,-1,0
Monticello UT,0,0,2,5,257.9741144,-1,184,185,184,217,185,-1,0
Legacy Sports,0,0,0,0,257.8573,-1,0,0,0,0,0,-1,0
Crested Butte,0,0,6,17,257.8563331,300,271,197,194,272,199,47,0
Aspen Jv,0,0,0,0,257.70531,-1,0,0,0,0,0,-1,0
Byers Jv,0,0,0,0,257.65186,-1,0,0,0,0,0,-1,0
Pikes Peak Christian,0,0,7,14,257.6232134,301,196,929,1093,253,272,43,0
Mitchell,0,0,4,19,257.5399661,302,1265,54,91,81,639,46,0
Pueblo Central JV,0,0,0,0,257.35829,-1,0,0,0,0,0,-1,0
Norwood,0,0,0,0,256.93778,-1,0,0,0,0,0,-1,0
Patterson Christian,0,0,0,0,256.66447,-1,0,0,0,0,0,-1,0
Fruita Jv,0,0,0,0,255.59243,-1,0,0,0,0,0,-1,0
Center Jv,0,0,0,0,255.09662,-1,0,0,0,0,0,-1,0
Fountain Valley,0,0,1,2,254.7052944,303,196,289,635,196,289,48,0
Vail Mountain,0,0,4,13,253.7292817,304,183,182,134,224,181,48,0
Douglas County Jv,0,0,0,0,253.671,-1,0,0,0,0,0,-1,0
Front Range Baptist,0,0,4,16,253.4867458,305,542,202,281,319,542,44,0
Basalt Jv,0,0,0,0,253.07388,-1,0,0,0,0,0,-1,0
St John Paul the Great,0,0,2,2,252.8732089,-1,55,703,202,731,55,-1,0
Raton NM,0,0,2,4,252.7784793,-1,105,1265,105,1265,261,-1,0
Sangre De Cristo,0,0,8,12,252.4414425,306,438,332,414,105,194,45,0
Farmington Nm Jv,0,0,0,0,252.20757,-1,0,0,0,0,0,-1,0
Primero,0,0,9,14,252.2030256,307,247,200,332,260,516,46,0
Dolores,0,0,5,16,252.1769166,308,186,188,185,199,230,49,0
Rye Jv,0,0,0,0,251.16759,-1,0,0,0,0,0,-1,0
Potter-Dix NE,0,0,0,3,250.8932934,-1,281,319,282,281,319,-1,0
North Park,0,0,2,20,250.4451164,309,181,182,183,182,576,47,0
Grand Junction Jv,0,0,0,0,249.9588,-1,0,0,0,0,0,-1,0
Rocky Mountain Lutheran,0,0,5,16,249.9006663,310,202,287,273,401,95,48,0
